user_id,conversation_id,conversation_timestamp,Topic_Label_Fine,Topic_Label_Coarse,asking_doing_expressing,work_coursework_personal,Multitasking,Complete_task_alone,User_Education,AI_Education,Clustering_Topic,Clustering_Topic_Theme,success_label,human_time_estimation,interaction_time_estimation,conversation_language,n_turns,avg_user_text_len,avg_asst_text_len,models_used
18296247,69427f3b-9834-832f-94df-17cf60397829,1765965828.488242,create_an_image,Multimedia,Doing,Personal,No,Yes,8.0,0.0,AI Image Generation,Content Creation,No,4.0,3.0,en,2.0,79.5,216.0,gpt-5-2
18296247,69427795-97f8-832c-aca8-35d572df91c1,1765963670.279415,other,Other/Unknown,Doing,Personal,No,No,12.0,12.0,,,No,0.0,5.0,en,1.0,1129.0,141.0,gpt-5-2
18296247,3cca54d7-04af-4a30-b7e2-fa57a1e8922a,1705613715.771091,edit_or_critique_provided_text,Writing,Doing,Personal,Yes,Yes,12.0,12.0,Creative Writing,Writing/Creative,Yes,0.0,9.0,en,7.0,71.0,103.85714285714286,text-davinci-002-render-sha
18296247,1b26da34-3191-480e-b572-97e19cd81000,1705613177.516762,edit_or_critique_provided_text,Writing,Expressing,Personal,Yes,Yes,6.0,6.0,Creative Writing,Writing/Creative,No,0.0,2.0,en,2.0,51.0,101.0,text-davinci-002-render-sha
18279451,694300e8-67e8-832c-b7cc-c03c3b5d70c2,1765998825.373,other,Other/Unknown,Doing,Personal,No,Yes,12.0,12.0,,,No,2.0,5.0,en,1.0,1129.0,216.5,gpt-5-2
18279451,6943007b-a0ac-8326-88ce-59c355b3d05e,1765998717.647,other,Other/Unknown,Doing,Personal,Yes,Yes,12.0,12.0,,,No,0.0,7.0,en,1.0,1129.0,216.5,gpt-5-2
18279451,6942a6e2-d1f0-8327-9403-56082a35c10d,1765982512.852,create_an_image,Multimedia,Doing,Work,No,No,12.0,16.0,"Workplace Policies, Exams & Professional Presentations",Job/Career,No,0.0,3.0,en,2.0,53.0,1088.0,gpt-5-2
18279451,6941a658-ad40-832b-9cf0-3efde0a84c6b,1765911918.847,create_an_image,Multimedia,Doing,Work,Yes,Yes,12.0,12.0,AI Image Generation,Content Creation,No,4.0,18.0,en,5.0,158.0,293.1818181818182,gpt-5-2
18279451,6940812a-f2b0-8328-9b3c-54f57bdd3482,1765909966.534,unclear,Other/Unknown,Expressing,Work,No,Yes,8.0,16.0,"Workplace Policies, Exams & Professional Presentations",Job/Career,No,4.0,6.0,en,6.0,45.0,590.3333333333334,gpt-5-2
18279451,693ffdf4-bbd4-832f-bd0a-3db46c4ccd6e,1765801675.833,create_an_image,Multimedia,Doing,Personal,No,Yes,12.0,14.0,,,No,4.0,6.0,en,2.0,122.0,285.6,gpt-5-2
18279451,68e4bcb5-0080-832d-b6f5-45ae291ce8cf,1759821719.31,data_analysis,Technical Help,Doing,Work,No,No,12.0,12.0,"Workplace Policies, Exams & Professional Presentations",Job/Career,No,3.0,25.0,en,6.0,555.5,231.58333333333331,gpt-5
18279451,68bbc4ba-8bac-8329-bbc5-84d45815ef02,1757136563.393,tutoring_or_teaching,Practical Guidance,Expressing,Coursework,No,Yes,0.0,12.0,English Grammar & Language,Translation/Language,Yes,5.0,25.0,en,10.0,13.5,999.818181818182,gpt-5
18279451,68bbc46d-7c44-832e-8074-84c103779e7f,1757135991.984,unclear,Other/Unknown,Expressing,Personal,No,No,0.0,0.0,,,No,0.0,0.0,other,1.0,11.0,278.5,gpt-5
18279451,c1dd1206-6bd9-4862-9c70-51918efad1db,1709891202.371676,tutoring_or_teaching,Practical Guidance,Doing,Coursework,No,Yes,16.0,16.0,Engineering & Electronics Queries,Programming/Tech,No,0.0,4.0,en,1.0,128.0,1237.0,text-davinci-002-render-sha
18279451,cb5b164d-6447-49c1-91e4-d0ba83893788,1707806327.863019,generate_or_retrieve_other_media,Multimedia,Doing,,Yes,No,12.0,14.0,Career Development & Job Search,Job/Career,No,4.0,50.0,en,28.0,3437.5,2779.4864864864867,text-davinci-002-render-sha
18279451,d3cdd0d6-6a3b-4064-9753-fe3adc423e57,1709331589.756494,mathematical_calculation,Technical Help,Asking,Coursework,No,Yes,10.0,2.0,Mathematical Problem Solving,Education/Academic,No,0.0,12.0,en,2.0,776.0,80.0,text-davinci-002-render-sha
18279451,addd0711-22d8-44d2-9620-86e1bb054f7b,1709153389.034526,tutoring_or_teaching,Practical Guidance,Asking,Coursework,No,Yes,16.0,16.0,Engineering & Electronics Queries,Programming/Tech,No,0.0,4.0,en,5.0,82.6,482.2,text-davinci-002-render-sha
18279451,d7c5406b-ff45-4524-aed1-d7be8298f733,1708994495.817478,mathematical_calculation,Technical Help,Doing,Coursework,Yes,No,8.0,0.0,Engineering & Electronics Queries,Programming/Tech,No,0.0,1.0,other,1.0,18.0,216.5,text-davinci-002-render-sha
18279451,84717e0e-9ea8-4a1e-a243-5feccf2b0764,1708954831.70959,argument_or_summary_generation,Writing,,Coursework,No,No,12.0,12.0,Career Development & Job Search,Job/Career,No,0.0,10.0,en,4.0,13062.0,2619.6,text-davinci-002-render-sha
18279451,2042a5a9-25ce-4b75-8bad-47d949654ce7,1708904388.670883,argument_or_summary_generation,Writing,Doing,Coursework,No,Yes,14.0,14.0,Academic Writing,Education/Academic,Yes,3.0,15.0,en,11.0,296.72727272727275,1444.642857142857,text-davinci-002-render-sha
18279451,deac0425-41b3-4e74-bbc9-3b6c63c0fb1a,1708825014.22505,mathematical_calculation,Technical Help,Asking,Coursework,Yes,Yes,10.0,10.0,Data Tools & Tech Platforms,Programming/Tech,No,1.0,10.0,en,14.0,176.0,831.0714285714286,text-davinci-002-render-sha
18279451,0f8f6261-2c56-462f-91cd-af3b971f9017,1708712564.042686,tutoring_or_teaching,Practical Guidance,Doing,Coursework,Yes,Yes,16.0,16.0,Engineering & Electronics Queries,Programming/Tech,No,1.0,18.0,other,1.0,5044.0,4647.333333333333,text-davinci-002-render-sha
18279451,a5e30b12-c253-44c9-a321-d87ea8c2a7e0,1708676535.249452,personal_writing_or_communication,Writing,Doing,Personal,No,Yes,6.0,8.0,Creative Writing,Writing/Creative,No,1.0,8.0,en,7.0,32.857142857142854,384.25,text-davinci-002-render-sha
18279451,67aaf202-584f-4dc8-9071-9947d975b9bd,1708648332.695506,other,Other/Unknown,Doing,Coursework,Yes,Yes,12.0,12.0,Data Tools & Tech Platforms,Programming/Tech,No,0.0,3.0,en,2.0,70.0,1107.0,text-davinci-002-render-sha
18279451,aacf12bc-b8c3-4400-8abe-58f047b5a030,1708648053.473525,how_to_advice,Practical Guidance,Expressing,Coursework,No,Yes,8.0,10.0,Data Tools & Tech Platforms,Programming/Tech,No,0.0,2.0,en,2.0,71.5,1380.0,text-davinci-002-render-sha
18279451,ed601044-f7f5-4970-8858-0a661e047f50,1708309950.810842,tutoring_or_teaching,Practical Guidance,Asking,Personal,No,Yes,12.0,12.0,Creative Writing Help,Writing/Creative,No,3.0,9.0,en,5.0,4860.6,1315.8333333333333,text-davinci-002-render-sha
18279451,e60b2fa6-3dea-42e6-97ee-841a6130b0ac,1708248166.053037,personal_writing_or_communication,Writing,Asking,Work,No,Yes,12.0,12.0,Career Development & Job Search,Job/Career,No,0.0,2.0,en,1.0,131.0,1059.0,text-davinci-002-render-sha
18279451,4775ae1f-2136-4806-af6b-b3376532bd38,1708052901.470439,specific_info,Seeking Information,Asking,Coursework,No,Yes,12.0,16.0,Career Development & Job Search,Job/Career,No,3.0,10.0,en,4.0,326.5,1940.2,text-davinci-002-render-sha
18279451,f2ce3528-9131-45f4-bb84-5048760dba0c,1707817122.537519,personal_writing_or_communication,Writing,Doing,Coursework,No,Yes,14.0,14.0,Career Development & Job Search,Job/Career,No,5.0,24.0,en,8.0,6180.75,2436.6363636363635,text-davinci-002-render-sha
18279451,26e82f06-259a-48cf-8495-9994793a4ead,1706568019.356354,edit_or_critique_provided_text,Writing,Doing,Coursework,Yes,Yes,,,Career Development & Job Search,Job/Career,No,8.0,50.0,en,56.0,2683.0178571428573,2439.83950617284,text-davinci-002-render-sha
18279451,7a3ab316-8b87-432f-bdab-d0617419214f,1707802863.635855,generate_or_retrieve_other_media,Multimedia,Doing,Coursework,Yes,Yes,16.0,16.0,Academic Writing,Education/Academic,No,2.0,10.0,en,6.0,112.33333333333331,2305.333333333333,text-davinci-002-render-sha
18279451,e89ecf03-6017-43ba-9449-8e4402e84c1f,1707710447.272153,edit_or_critique_provided_text,Writing,Doing,Coursework,No,Yes,12.0,16.0,Academic Writing,Education/Academic,No,0.0,3.0,en,1.0,351.0,228.0,text-davinci-002-render-sha
18279451,b2370859-b67f-488c-a659-f4f91c0a67fa,1707345027.704412,mathematical_calculation,Technical Help,Asking,Personal,No,Yes,8.0,10.0,Mathematical Problem Solving,Education/Academic,No,1.0,10.0,en,12.0,36.91666666666666,284.875,text-davinci-002-render-sha
18279451,fcbadb23-c384-4ff5-8ae6-b5b1fd6a7410,1706001831.721074,how_to_advice,Practical Guidance,Doing,Coursework,Yes,Yes,12.0,15.0,Career Development & Job Search,Job/Career,No,5.0,38.0,en,11.0,470.8181818181818,2269.4166666666665,text-davinci-002-render-sha
18279451,48ca5437-64fe-460c-9a4d-6e0fd97906e1,1707301074.436321,personal_writing_or_communication,Writing,Doing,Coursework,No,Yes,10.0,12.0,Career Development & Job Search,Job/Career,No,0.0,5.0,en,3.0,34.333333333333336,2612.0,text-davinci-002-render-sha
18279451,095f85b9-741e-421a-9408-2df7e7ce4a83,1707255475.503489,personal_writing_or_communication,Writing,Doing,Personal,No,No,12.0,12.0,Creative Writing,Writing/Creative,No,1.0,6.0,en,5.0,248.6,175.66666666666666,text-davinci-002-render-sha
18279451,e70549bb-d594-4d03-a593-4c0ea6b514b9,1707166556.338758,personal_writing_or_communication,Writing,Doing,Personal,No,Yes,6.0,12.0,Creative Writing,Writing/Creative,No,0.0,4.0,en,3.0,113.0,518.0,text-davinci-002-render-sha
18279451,11b63ca1-4575-4106-bf49-d79e46c97704,1707057493.436542,personal_writing_or_communication,Writing,Doing,Personal,No,Yes,8.0,12.0,Creative Writing,Writing/Creative,No,3.0,20.0,en,18.0,54.11111111111112,586.081081081081,text-davinci-002-render-sha
18279451,bb3a2660-59fb-4453-9c94-93a3dbfaf66d,1706689874.568667,tutoring_or_teaching,Practical Guidance,Asking,,No,Yes,16.0,16.0,Social Science Queries,Education/Academic,No,15.0,45.0,en,18.0,4710.5,2334.818181818182,text-davinci-002-render-sha
18279451,971e88c7-2c54-41b1-8f4e-c54c3c2d3a66,1706574943.359069,creative_ideation,Practical Guidance,Asking,Personal,No,Yes,8.0,8.0,Creative Writing,Writing/Creative,No,1.0,4.0,en,2.0,145.0,1270.0,text-davinci-002-render-sha
18279451,f5c61433-df1c-415e-965b-fbd98af7885b,1706554083.770911,creative_ideation,Practical Guidance,Doing,Coursework,Yes,Yes,12.0,0.0,Academic Writing,Education/Academic,No,2.0,10.0,en,1.0,1589.0,745.0,text-davinci-002-render-sha
18279451,8e1a0964-f5de-4a9d-a7d0-736129967418,1706305705.788453,edit_or_critique_provided_text,Writing,Expressing,Coursework,Yes,Yes,12.0,12.0,Academic Writing,Education/Academic,No,2.0,15.0,en,13.0,129.30769230769232,927.3076923076924,text-davinci-002-render-sha
18279451,bff9ac18-db3d-47ff-8cc9-3ca73160a059,1706111049.490546,specific_info,Seeking Information,Asking,Coursework,Yes,Yes,12.0,14.0,Engineering & Electronics Queries,Programming/Tech,No,1.0,7.0,en,3.0,356.6666666666667,1764.0,text-davinci-002-render-sha
18279451,e173fc6c-8431-4398-9731-84be8594ea50,1694346671.705332,personal_writing_or_communication,Writing,Doing,Work,No,Yes,12.0,14.0,Career Development & Job Search,Job/Career,No,9.0,60.0,en,14.0,2087.3571428571427,2542.5,text-davinci-002-render-sha
18279451,d35acf2c-3885-408f-bf36-6bf34e6d96be,1706049638.098345,specific_info,Seeking Information,Asking,Work,No,Yes,8.0,0.0,Casual Greetings & Miscellaneous Small Talk,Content Creation,No,0.0,1.0,en,1.0,69.0,302.0,text-davinci-002-render-sha
18279451,1a4a5290-cd18-4e5a-a0ba-bbfaeea008cb,1705784120.431648,personal_writing_or_communication,Writing,Doing,Work,No,Yes,8.0,0.0,Content Creation Help,Content Creation,No,0.0,6.0,en,1.0,1005.0,1116.0,text-davinci-002-render-sha
18279451,d07f58c2-6dbb-41dd-8bc4-33c901ed9b1c,1705657744.01683,personal_writing_or_communication,Writing,Doing,Work,No,Yes,16.0,14.0,Career Development & Job Search,Job/Career,No,0.0,5.0,en,1.0,836.0,1600.0,text-davinci-002-render-sha
18279451,20f16df2-c87e-475c-8ea5-6a97a467d789,1705540692.033269,edit_or_critique_provided_text,Writing,Doing,Coursework,No,Yes,12.0,13.0,Career Development & Job Search,Job/Career,No,1.0,12.0,en,2.0,10635.0,3127.5,text-davinci-002-render-sha
18279451,f3576920-b06d-4c29-9582-2e183a1fe4a3,1704068521.730671,personal_writing_or_communication,Writing,Doing,Personal,No,Yes,10.0,10.0,Personal Development & Goal Setting,Job/Career,Yes,1.0,6.0,en,6.0,123.66666666666669,1166.75,text-davinci-002-render-sha
18279451,abb3882a-b542-4364-b982-0fd5dec94ede,1703953648.006445,specific_info,Seeking Information,Asking,Personal,Yes,No,8.0,12.0,Social Science Queries,Education/Academic,Yes,0.0,3.0,en,2.0,53.5,300.0,text-davinci-002-render-sha
18279451,0ed7fc95-eff1-4887-83b9-a8ee90abdaf7,1703322969.35013,personal_writing_or_communication,Writing,Asking,Personal,No,No,5.0,5.0,Casual Greetings & Miscellaneous Small Talk,Content Creation,No,0.0,2.0,en,1.0,38.0,124.0,text-davinci-002-render-sha
18279451,6d54f931-d039-4320-8713-138607a5833c,1702337283.049892,personal_writing_or_communication,Writing,Doing,Coursework,Yes,Yes,12.0,12.0,Creative Writing,Writing/Creative,No,1.0,12.0,en,3.0,703.3333333333334,932.75,text-davinci-002-render-sha
18279451,98b17031-5b05-49f6-98f7-4a5f4de88787,1701991544.330492,personal_writing_or_communication,Writing,Asking,Work,Yes,Yes,10.0,12.0,Career Development & Job Search,Job/Career,No,1.0,20.0,en,12.0,387.9166666666667,1244.5,text-davinci-002-render-sha
18279451,2f782c85-f03d-4239-943a-4f15190988fe,1701724997.982305,personal_writing_or_communication,Writing,,Coursework,Yes,Yes,12.0,12.0,Career Development & Job Search,Job/Career,No,4.0,15.0,en,6.0,358.1666666666667,1371.0,text-davinci-002-render-sha
