user_id,conversation_id,conversation_timestamp,Topic_Label_Fine,Topic_Label_Coarse,asking_doing_expressing,work_coursework_personal,Multitasking,Complete_task_alone,User_Education,AI_Education,Clustering_Topic,Clustering_Topic_Theme,success_label,human_time_estimation,interaction_time_estimation,conversation_language,n_turns,avg_user_text_len,avg_asst_text_len,models_used
24899493,694d557c-76bc-8320-a39d-301dd2e4121d,1766675837.429357,other,Other/Unknown,Doing,Personal,Yes,Yes,12.0,12.0,,,No,1.0,7.0,en,1.0,1129.0,146.0,gpt-5-2
24899493,693a8e26-9264-8321-9935-355fa46f839b,1765445159.576146,computer_programming,Technical Help,Expressing,Coursework,Yes,Yes,13.0,0.0,Programming,Programming/Tech,No,0.0,3.0,en,1.0,120.0,445.0,gpt-5-1
24899493,693a5c16-1a14-8320-8190-e3af7143f949,1765393433.048,computer_programming,Technical Help,Doing,Coursework,,,12.0,0.0,Programming,Programming/Tech,No,0.0,5.0,en,3.0,78.33333333333333,993.25,gpt-5-1
24899493,6927e5a9-610c-8322-b12c-97d7ccbdb169,1764222456.843209,unclear,Other/Unknown,Expressing,Personal,No,Yes,0.0,0.0,,,No,0.0,1.0,en,1.0,80.0,245.66666666666663,gpt-5-1
24899493,691d5ec1-230c-8322-a315-a5e027beaade,1763532482.084084,other,Other/Unknown,Doing,Coursework,Yes,Yes,8.0,8.0,Image Processing Requests,Content Creation,No,0.0,2.0,en,1.0,73.0,154.0,gpt-5-1
24899493,691c1204-e858-8321-b6d6-a1df83cb378c,1763447839.338387,tutoring_or_teaching,Practical Guidance,Doing,Coursework,No,Yes,6.0,16.0,Programming,Programming/Tech,Yes,1.0,12.0,en,7.0,25.142857142857142,1557.5,gpt-5-1
24899493,6915e18d-bf14-8324-8571-aad7b9744c6d,1763041682.737174,unclear,Other/Unknown,Expressing,Coursework,Yes,Yes,10.0,0.0,Mathematics,Education/Academic,No,0.0,1.0,en,1.0,20.0,1083.5,gpt-5
24899493,6915a2f7-c160-8324-9823-387db7875725,1763025961.789002,computer_programming,Technical Help,Asking,Coursework,No,Yes,8.0,14.0,Programming,Programming/Tech,Yes,0.0,2.0,en,2.0,27.0,760.3333333333334,gpt-5
24899493,6914bf84-297c-8321-bdab-a85e23fd4465,1762967860.757917,create_an_image,Multimedia,Doing,Personal,No,Yes,6.0,10.0,AI Image Generation,Content Creation,No,1.0,3.0,en,6.0,12.5,157.0,gpt-5;gpt-5-t-mini
24899493,690dc028-3d00-8322-b6c2-614710da07fb,1762508857.79668,health_fitness_beauty_or_self_care,Practical Guidance,Asking,Personal,No,No,8.0,12.0,Health & Wellness,Health/Medical,No,0.0,1.0,en,1.0,42.0,895.0,gpt-5
24899493,690c67c9-0b98-8321-b6a6-5bb8d9ac1fc9,1762382059.703,computer_programming,Technical Help,Asking,Coursework,Yes,No,14.0,0.0,Programming,Programming/Tech,No,2.0,5.0,en,2.0,127.5,2095.0,gpt-5
24899493,6905db6f-5490-8323-b389-34218b958d12,1762035444.677,computer_programming,Technical Help,Expressing,Coursework,No,No,12.0,0.0,Programming,Programming/Tech,No,1.0,8.0,en,2.0,420.0,940.0,gpt-5
24899493,6904dc65-80cc-8320-990e-549a9365acf1,1761926264.995228,health_fitness_beauty_or_self_care,Practical Guidance,Asking,Personal,No,Yes,6.0,8.0,Health & Wellness,Health/Medical,No,0.0,2.0,en,1.0,54.0,535.0,gpt-5
24899493,69045475-159c-8321-a91d-1c6d6dc8bde7,1761892208.847729,computer_programming,Technical Help,Asking,Coursework,No,Yes,12.0,8.0,Programming,Programming/Tech,No,0.0,5.0,en,2.0,132.0,500.6666666666667,gpt-5
